what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390553907136
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390553909344
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390555685690
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390555850053
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390555936085
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390555937745
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390556269006
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390556270244
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390556718729
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1390556720952
executed,command,,,"org.eclipse.mtj.launchShortcuts.run",1390556728357
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390556729980
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390556730645
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390556730937
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390556733629
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390556734272
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390556737762
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390556738424
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390556746967
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390556748589
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390556755242
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1390556755289
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390556760298
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390557788524
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1390557790156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390557799716
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390558094777
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390558106548
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390560164514
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1390560174290
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1390560180709
stopped,bundle,org.eclipse.mylyn.pde.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.pde.ui",1390560180709
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1390560180709
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1390560180884
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1390560180954
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1390560181075
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1390560181157
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1390560181157
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1390560181292
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1390560181483
stopped,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1390560181645
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1390560181678
stopped,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1390560181764
