what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.sequoyah.device.service.vncviewer,1.0.0.M20100915-0236,"org.eclipse.sequoyah.device.service.vncviewer",1390549695093
stopped,bundle,org.eclipse.sequoyah.device.framework,1.0.0.M20100915-0236,"org.eclipse.sequoyah.device.framework",1390549695093
stopped,bundle,org.eclipse.sequoyah.localization.android,1.0.0.M20100915-0236,"org.eclipse.sequoyah.localization.android",1390549695093
stopped,bundle,org.eclipse.sequoyah.localization.tools,1.0.0.M20100915-0236,"org.eclipse.sequoyah.localization.tools",1390549695094
stopped,bundle,org.eclipse.sequoyah.localization.stringeditor,1.0.0.M20100915-0236,"org.eclipse.sequoyah.localization.stringeditor",1390549695094
stopped,bundle,org.eclipse.sequoyah.vnc.vncviewer.vncviews,1.0.0.M20100915-0236,"org.eclipse.sequoyah.vnc.vncviewer.vncviews",1390549695094
stopped,bundle,org.eclipse.sequoyah.vnc.vncviewer,1.0.0.M20100915-0236,"org.eclipse.sequoyah.vnc.vncviewer",1390549695094
stopped,bundle,org.eclipse.sequoyah.vnc.protocol,1.0.0.M20100915-0236,"org.eclipse.sequoyah.vnc.protocol",1390549695094
stopped,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1390549695094
stopped,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1390549695095
stopped,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1390549695095
stopped,bundle,org.eclipse.wst.common.snippets,1.2.1.v201008251905,"org.eclipse.wst.common.snippets",1390549695095
stopped,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1390549695095
stopped,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1390549695095
stopped,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1390549695127
stopped,bundle,org.eclipse.emf.common.ui,2.6.0.v20100914-1218,"org.eclipse.emf.common.ui",1390549695127
stopped,bundle,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui",1390549695127
stopped,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1390549695127
stopped,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1390549695127
stopped,bundle,org.eclipse.equinox.security.ui,1.0.200.v20100503,"org.eclipse.equinox.security.ui",1390549695127
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.0.v20100427,"org.eclipse.ui.cheatsheets",1390549695127
stopped,bundle,org.eclipse.help.ui,3.5.2.r36_v20100702,"org.eclipse.help.ui",1390549695127
stopped,bundle,org.eclipse.jsch.ui,1.1.300.I20100505-1245,"org.eclipse.jsch.ui",1390549695127
stopped,bundle,org.eclipse.sequoyah.pulsar.core,1.0.1.M20100811-0600,"org.eclipse.sequoyah.pulsar.core",1390549695128
stopped,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1390549695128
stopped,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1390549695128
stopped,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1390549695128
stopped,bundle,org.eclipse.wst.validation.ui,1.2.204.v201004150700,"org.eclipse.wst.validation.ui",1390549695128
stopped,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1390549695128
stopped,bundle,org.eclipse.wst.common.modulecore.ui,1.0.2.v201009010400,"org.eclipse.wst.common.modulecore.ui",1390549695128
stopped,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1390549695164
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1390549695164
stopped,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1390549695164
stopped,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1390549695164
stopped,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1390549695165
stopped,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1390549695165
stopped,bundle,org.eclipse.update.ui,3.2.300.v20100512,"org.eclipse.update.ui",1390549695165
stopped,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1390549695188
stopped,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1390549695188
stopped,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1390549695188
stopped,bundle,org.eclipse.ui.presentations.r21,3.2.200.I20100517-1500,"org.eclipse.ui.presentations.r21",1390549695188
stopped,bundle,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef",1390549695189
stopped,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1390549695189
stopped,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1390549695189
